Height Rank,Prom. Rank,Name,Region,County,Height (m),Prom. (m),Height (ft),Prom. (ft),Topo Map,OS Grid Reference,Classification(§ DoBIH codes)
53,10,Brandon Mountain,Ireland,Kerry,952,927.0,3122,3041,70,Q460116,"Ma,F,Sim,Hew,Dil,A,VL"
54,56,Helvellyn,England,Cumbria,950,712.0,3117,2336,90,NY342151,"Ma,F,Sim,Hew,N,W,B,Sy,Fel,CoH"
55,95,Ben Vorlich,Scotland,Argyll and Bute,943,632.0,3094,2073,50 56,NN295124,"Ma,M,Sim,CoH"
56,77,Beinn Sgulaird,Scotland,Argyll and Bute,937,662.0,3074,2172,50,NN053460,"Ma,M,Sim"
57,102,Sron a' Choire Ghairbh,Scotland,Highland,937,622.0,3074,2041,34,NN222945,"Ma,M,Sim"
58,79,Fionn Bheinn,Scotland,Highland,933,658.0,3061,2159,20,NH147621,"Ma,M,Sim"
59,57,Skiddaw,England,Cumbria,931,709.0,3054,2326,89 90,NY260290,"Ma,F,Sim,Hew,N,W,B,Sy,Fel"
60,87,Ben Chonzie,Scotland,Perth and Kinross,931,648.0,3054,2126,51 52,NN773308,"Ma,M,Sim"
61,19,Bla Bheinn,Scotland,Highland,929,862.0,3048,2828,32,NG529217,"Ma,M,Sim"
62,43,Ben Hope,Scotland,Highland,927,772.0,3041,2533,9,NC477501,"Ma,M,Sim"
63,21,Lugnaquilla,Ireland,Wicklow,925,849.0,3035,2785,56,T032917,"Ma,F,Sim,Hew,Dil,A,VL,CoH,CoU"
64,29,Galtymore,Ireland,Limerick/ Tipperary,918,821.0,3011,2694,74,R878237,"Ma,F,Sim,Hew,Dil,A,VL,CoH,CoU"
65,66,Foinaven,Scotland,Highland,911,688.0,2989,2257,9,NC315506,"Ma,C,Sim"
66,75,Aran Fawddwy,Wales,Gwynedd,905,670.0,2969,2198,124 125,SH862223,"Ma,Sim,Hew,N,CoH"
67,93,Beinn an Lochain,Scotland,Argyll and Bute,902,640.0,2958,2100,56,NN218078,"Ma,C,Sim,xMT"
68,109,Sgurr nan Eugallt,Scotland,Highland,898,612.0,2946,2008,33,NG927048,"Ma,C,Sim"
69,20,Beinn Bhan,Scotland,Highland,896,851.0,2940,2792,24,NG803450,"Ma,C,Sim"
70,84,Cross Fell,England,Cumbria,893,651.0,2930,2136,91,NY687343,"Ma,Sim,Hew,N"
71‡,113,Cadair Idris,Wales,Gwynedd,893,608.0,2929,1995,124,SH711130,"Ma,Sim,Hew,N"
72,17,Sgurr Dhomhnuill,Scotland,Highland,888,873.0,2913,2864,40,NM889678,"Ma,C,Sim"
73,72,Pen y Fan,Wales,Powys,886,672.0,2907,2205,160,SO012215,"Ma,Sim,Hew,N,CoH,CoU,CoA"
74,68,Garbh Bheinn,Scotland,Highland,885,687.0,2904,2254,40,NM904622,"Ma,C,Sim"
75,42,Rois-bheinn,Scotland,Highland,882,774.0,2894,2539,40,NM756778,"Ma,C,Sim"
76,16,Goat Fell,Scotland,North Ayrshire,874,874.0,2867,2867,62 69,NR991415,"Ma,C,Sim,CoH,CoU,SIB"
77‡,115,Ben Hee,Scotland,Highland,873,607.0,2864,1991,16,NC426339,"Ma,C,Sim"
78‡‡,119,Moel Siabod,Wales,Conwy,872,600.0,2862,1968,115,SH705546,"Ma,Sim,Hew,N"
79,48,Creach Bheinn,Scotland,Highland,853,755.0,2799,2477,49,NM870576,"Ma,C,Sim"
80,91,Baurtregaum,Ireland,Kerry,851,642.0,2792,2106,71,Q749076,"Ma,Sim,Hew,Dil,A,VL"
81,28,Slieve DonardHighest in N.Ireland,Ireland,Down,850,825.0,2789,2707,29,J358276,"Ma,Sim,Hew,Dil,A,VL,CoH,CoU"
82,83,Cul Mor,Scotland,Highland,849,651.0,2785,2136,15,NC162119,"Ma,C,Sim"
83,105,Sgurr Ghiubhsachain,Scotland,Highland,849,614.0,2785,2014,40,NM875751,"Ma,C,Sim"
84,65,Canisp,Scotland,Highland,847,689.0,2779,2260,15,NC202187,"Ma,C,Sim"
85,60,Merrick,Scotland,Dumfries and Galloway,843,705.0,2766,2313,77,NX427855,"Ma,C,Sim,D,CoH,CoU,CoA"
